1554.9537,-1675.6584,16.1953,246.7717,62.8636,1003.6406,6,State,Police Station,1,1,0,0,0,0
1833.4407,-1842.6156,13.5781,-30.955900,-91.646499,1003.546875,18,na,Unity 24/7,0,2500,0,1,100,0
1186.5122,-1474.3986,13.5469,-30.955900,-91.646499,1003.546875,18,na,Chinatown 24/7,0,5000,0,1,100,0
2229.5447,-1721.6458,13.5649,772.5087,-5.2664,1000.7291,5,na,Ganton Gym,0,10000,0,2,100,0
2309.8584,-1643.7063,14.8270,501.870788,-67.582000,998.757812,11,na,Ten Green Bottles,0,20000,0,3,100,0
2105.2759,-1806.5032,13.5547,372.3718,-133.5241,1001.4922,5,na,Idlewood Pizzeria,0,30000,0,4,100,0
1667.4076,-1558.6969,13.5469,169.419,-192.016,-11.757,1,na,Commerce Florist,0,40000,0,5,100,0
1186.6104,-1444.0631,13.5115,169.419,-192.016,-11.757,1,na,Chinatown Florist,0,40000,0,5,100,0
2244.3794,-1665.2310,15.4766,207.6112,-110.7745,1005.1328,15,na,Ganton Binco,0,50000,0,6,100,0
1186.5773,-1454.3035,13.5469,226.293991,-7.431529,1002.210937,5,na,Chinatown Clothes,0,50000,0,6,100,0
2766.3086,-1606.3143,10.9219,620.1544,-70.9000,997.9922,2,na,East Beach Workshop,0,70000,0,7,100,0
2452.8088,-1513.9487,24.0000,620.1544,-70.9000,997.9922,2,na,East LS Workshop,0,70000,0,7,100,0
1702.9153,-1469.6606,13.5469,620.1544,-70.9000,997.9922,2,na,Commerce Workshop,0,70000,0,7,100,0
2741.0283,-2003.7444,13.5472,620.1544,-70.9000,997.9922,2,na,Seville Workshop,0,70000,0,7,100,0
2445.4990,-1758.6775,13.5924,620.1544,-70.9000,997.9922,2,na,Ganton Workshop,0,70000,0,7,100,0
1186.6378,-1433.8911,13.4604,-2158.6294,643.0300,1052.3750,1,na,Chinatown Bets,0,80000,0,8,100,0
1631.8263,-1172.6288,24.0843,834.2676,7.3777,1004.1870,3,na,Mulholland Bets,0,80000,0,8,100,0
1929.2466,-1776.2284,13.5469,-2240.468,137.06,1035.414,6,na,Idlewood Gas,0,90000,0,9,100,0
1368.5737,-1279.8090,13.5469,285.3812,-41.6133,1001.5156,1,na,Market Ammu-Nation,0,200000,0,10,100,0
